Time Stamp,ID,Extended,Dir,Bus,LEN,D0,D1,D2,D3,D4,D5,D6,D7
1743890401.630,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.631,00000010,0,Rx,0,8,00,FF,61,30,00,00,07,A9
1743890401.632,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.633,00000012,0,Rx,0,8,99,99,32,00,00,00,04,36
1743890401.634,00000010,0,Rx,0,8,00,FF,60,30,00,00,09,A6
1743890401.635,00000010,0,Rx,0,8,00,FF,61,30,00,00,0A,A4
1743890401.636,00000012,0,Rx,0,8,99,99,32,00,01,00,05,36
1743890401.637,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0E,0B
1743890401.638,00000010,0,Rx,0,8,00,FF,61,30,00,00,0B,A5
1743890401.639,00000012,0,Rx,0,8,99,99,32,00,00,00,06,34
1743890401.640,00000010,0,Rx,0,8,00,FF,60,30,00,00,0D,A2
1743890401.641,00000102,0,Rx,0,8,00,00,18,63,58,CE,0F,E2
1743890401.642,00000400,0,Rx,0,8,00,0D,0A,F0,00,01,02,F4
1743890401.643,00000411,0,Rx,0,8,32,60,00,00,00,00,00,00
1743890401.644,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.645,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,03,03
1743890401.646,00000102,0,Rx,0,8,00,00,18,63,58,CE,02,EF
1743890401.647,00000010,0,Rx,0,8,00,FF,61,30,00,00,01,AF
1743890401.648,00000102,0,Rx,0,8,00,00,18,63,58,CE,03,EE
1743890401.649,00000122,0,Rx,0,8,2A,23,2D,21,00,00,06,03
1743890401.650,00000231,0,Rx,0,8,00,05,00,00,00,00,0A,0F
1743890401.651,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.652,00000122,0,Rx,0,8,2A,23,2D,21,00,00,08,0D
1743890401.653,00000231,0,Rx,0,8,00,05,00,00,00,00,0C,09
1743890401.654,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
